game_pk,pitcher_id,game_date,pitcher_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
822804,453286,2026-06-10,"Scherzer, Max",4,11,82,87.93780487804878,2250.3048780487807,0.13414634146341464,1.8,0.06921657444206752,87.79194789757865,68.6
822705,453286,2026-07-27,"Scherzer, Max",4,6,75,88.03066666666668,2128.48,0.08,1.8,0.07676873430101551,87.7493883912607,68.4
824362,500779,2026-05-07,"Quintana, Jose",2,7,74,84.88243243243244,2024.8648648648648,0.0945945945945946,2.4,0.0951194827364458,86.0236564313024,82.8
823386,500779,2026-05-13,"Quintana, Jose",2,8,73,86.32328767123288,2080.4246575342468,0.1095890410958904,2.4,0.09096147857844165,85.50501471266068,82.0
824357,500779,2026-05-18,"Quintana, Jose",4,7,94,84.86276595744681,1952.1489361702127,0.07446808510638298,2.6,0.09421262013095306,85.46620558024058,81.6
825081,500779,2026-05-24,"Quintana, Jose",0,5,33,86.03939393939395,1998.6666666666667,0.15151515151515152,3.2,0.10021734826334076,85.20875877172995,82.4
824360,518876,2026-05-15,"Kelly, Merrill",3,6,100,88.329,2273.19,0.06,4.0,0.12786406533046552,89.1126297977614,95.8
825084,518876,2026-05-20,"Kelly, Merrill",4,8,85,89.2835294117647,2287.035294117647,0.09411764705882353,4.0,0.11660825137697717,89.00122049543583,98.6
823219,518876,2026-05-25,"Kelly, Merrill",4,8,96,88.77187500000001,2322.375,0.08333333333333333,3.8,0.11166940455111811,88.98743132828382,95.4
823133,518876,2026-05-31,"Kelly, Merrill",2,7,97,89.57938144329897,2285.6494845360826,0.07216494845360824,4.4,0.10718222506393862,88.95949863597613,93.8
825073,518876,2026-06-05,"Kelly, Merrill",4,10,85,89.54705882352941,2319.3411764705884,0.11764705882352941,3.8,0.08900651910248635,89.0975488376794,94.8
823855,518876,2026-06-11,"Kelly, Merrill",1,1,74,88.56756756756756,2346.7432432432433,0.013513513513513514,3.4,0.08545259753385889,89.10216893571861,92.6
825070,518876,2026-06-16,"Kelly, Merrill",4,7,88,89.84772727272728,2303.5,0.07954545454545454,3.0,0.07615530023656161,89.14988244923214,87.4
823040,518876,2026-06-22,"Kelly, Merrill",2,6,96,89.79062499999999,2379.71875,0.0625,3.0,0.07324086173388782,89.26272202142465,88.0
822959,518876,2026-06-28,"Kelly, Merrill",3,3,93,89.66666666666667,2350.94623655914,0.03225806451612903,2.6,0.06907419506722115,89.46647202142465,88.0
825063,518876,2026-07-04,"Kelly, Merrill",6,12,92,90.87826086956521,2350.5760869565215,0.13043478260869565,2.8,0.061092818279725306,89.48392906609818,87.2
823277,518876,2026-07-09,"Kelly, Merrill",6,12,94,89.92446808510638,2309.6170212765956,0.1276595744680851,3.2,0.06365036303675856,89.75016947530534,88.6
825060,518876,2026-07-17,"Kelly, Merrill",3,9,87,89.40574712643678,2364.103448275862,0.10344827586206896,4.2,0.08647957522767287,90.02154957881311,92.6
825055,518876,2026-07-22,"Kelly, Merrill",3,6,87,89.62528735632183,2308.402298850575,0.06896551724137931,4.0,0.09126013949099573,89.933153549555,92.4
823353,518876,2026-07-27,"Kelly, Merrill",6,11,93,88.3537634408602,2282.6021505376343,0.11827956989247312,4.2,0.09255324293927161,89.90008602081937,90.6
824934,519242,2026-04-26,"Sale, Chris",9,12,100,88.054,2301.51,0.12,5.8,0.11862580438801137,86.77230321272279,88.4
824365,519242,2026-05-02,"Sale, Chris",11,19,102,89.53823529411764,2275.098039215686,0.18627450980392157,6.4,0.12217125893346589,86.66673957635916,90.8
823957,519242,2026-05-08,"Sale, Chris",7,16,102,89.24117647058824,2251.7450980392155,0.1568627450980392,8.0,0.13664135076766795,87.68552587568902,95.4
824926,519242,2026-05-14,"Sale, Chris",8,14,100,88.04700000000001,2270.72,0.14,8.0,0.13684506861844462,88.19869623474173,100.4
823866,519242,2026-05-20,"Sale, Chris",8,17,96,87.21458333333334,2374.4375,0.17708333333333334,8.4,0.14835022325761987,88.12974571927782,101.0
824757,519242,2026-05-28,"Sale, Chris",8,16,96,89.22812499999999,2266.4270833333335,0.16666666666666666,8.6,0.15604411764705883,88.41899901960785,100.0
824919,519242,2026-06-04,"Sale, Chris",6,13,108,88.85277777777777,2384.0,0.12037037037037036,8.4,0.16537745098039217,88.65382401960785,99.2
824590,519242,2026-06-10,"Sale, Chris",6,10,103,90.38155339805824,2471.27397260274,0.0970873786407767,7.4,0.15219662309368193,88.51673251633987,100.4
824909,519242,2026-06-20,"Sale, Chris",7,11,101,89.64455445544554,2402.4356435643563,0.10891089108910891,7.2,0.14024154980222941,88.74480790183387,100.6
823204,519242,2026-06-28,"Sale, Chris",10,16,94,90.92234042553193,2251.968085106383,0.1702127659574468,7.0,0.1340237280200512,89.06431879292298,100.8
824903,519242,2026-07-04,"Sale, Chris",3,10,98,90.22755102040816,2352.8673469387754,0.10204081632653061,7.4,0.1326496145448739,89.8058702113627,100.4
823033,519242,2026-07-10,"Sale, Chris",5,7,43,88.20697674418605,2452.0,0.16279069767441862,6.4,0.11972444447684669,90.00575541544433,100.8
824901,519242,2026-07-17,"Sale, Chris",6,13,89,89.7370786516854,2388.932584269663,0.14606741573033707,6.2,0.12820850993765634,89.87659520872599,87.8
824893,519242,2026-07-23,"Sale, Chris",11,23,98,88.81020408163265,2461.8367346938776,0.23469387755102042,6.2,0.13800451735556843,89.74770025945142,85.0
823865,527048,2026-05-19,"Pérez, Martín",10,11,78,85.04102564102564,2029.8333333333333,0.14102564102564102,3.4,0.08530131784758208,85.67305960528009,86.0
824921,527048,2026-05-24,"Pérez, Martín",2,2,86,84.93837209302325,1951.8837209302326,0.023255813953488372,5.2,0.1028397793860436,85.46686473348521,86.6
824513,527048,2026-05-30,"Pérez, Martín",2,6,81,85.85061728395061,2035.9259259259259,0.07407407407407407,5.2,0.09353745380464826,85.27151589627591,86.6
824914,527048,2026-06-05,"Pérez, Martín",5,11,85,83.72823529411764,1946.5058823529412,0.12941176470588237,4.8,0.09345865159818648,85.15483084242774,84.0
823616,527048,2026-06-13,"Pérez, Martín",4,8,71,84.83239436619719,1939.5492957746478,0.11267605633802817,4.8,0.09736298256134099,84.8578405386139,82.8
824910,527048,2026-06-19,"Pérez, Martín",5,10,82,84.62926829268294,1937.1707317073171,0.12195121951219512,4.6,0.09608867001942281,84.87812893566287,80.2
823284,527048,2026-06-24,"Pérez, Martín",4,4,82,84.49634146341464,1952.4268292682927,0.04878048780487805,3.6,0.09227378571673363,84.79577746599432,81.0
824907,527048,2026-06-30,"Pérez, Martín",1,5,85,83.64,1968.4823529411765,0.058823529411764705,4.0,0.09737872048701156,84.7073713400726,80.2
824902,527048,2026-07-05,"Pérez, Martín",1,6,77,85.03116883116883,1976.8051948051948,0.07792207792207792,3.8,0.09432861155454969,84.26524788328247,81.0
824896,527048,2026-07-22,"Pérez, Martín",3,7,75,84.93733333333334,1939.52,0.09333333333333334,3.0,0.08403067419778878,84.52583459069271,79.4
823597,527048,2026-07-27,"Pérez, Martín",4,3,87,86.12528735632183,2068.287356321839,0.034482758620689655,2.8,0.08016212959684983,84.54682238411995,80.2
824261,543037,2026-06-22,"Cole, Gerrit",5,11,89,91.34719101123595,2430.1348314606744,0.12359550561797752,4.8,0.07530352798153277,91.78673941990913,75.8
824745,543037,2026-06-27,"Cole, Gerrit",5,6,89,90.81348314606741,2420.044943820225,0.06741573033707865,5.4,0.08891151799401717,91.52784428882298,79.2
823527,543037,2026-07-03,"Cole, Gerrit",7,7,88,92.62272727272727,2349.875,0.07954545454545454,4.4,0.07201491722598986,91.61256623449216,81.2
822957,543037,2026-07-08,"Cole, Gerrit",6,9,97,92.88041237113401,2349.6494845360826,0.09278350515463918,5.4,0.08310473102664703,91.7125333757846,82.2
823524,543037,2026-07-17,"Cole, Gerrit",8,12,103,92.24466019417477,2351.902912621359,0.11650485436893204,5.8,0.0920228778407074,91.78018211507164,85.0
823518,543037,2026-07-22,"Cole, Gerrit",11,21,93,91.76989247311829,2358.8924731182797,0.22580645161290322,6.2,0.09596901000481638,91.9816947990679,93.2
824569,543037,2026-07-28,"Cole, Gerrit",7,14,99,92.1969696969697,2408.717171717172,0.1414141414141414,7.4,0.11641119920380154,92.06623509144436,94.0
