game_pk,pitcher_id,game_date,pitcher_name,home_away,team_id,team_name,opponent_id,opponent_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,opponent_k_rate,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
822804,453286,2026-06-10,"Scherzer, Max",home,141,Toronto Blue Jays,143,Philadelphia Phillies,4,11,82,87.93780487804878,2250.3048780487807,0.13414634146341464,0.2285140562248996,1.8,0.06921657444206752,87.79194789757865,68.6
822705,453286,2026-07-27,"Scherzer, Max",away,141,Toronto Blue Jays,120,Washington Nationals,4,6,75,88.03066666666668,2128.48,0.08,0.21253339810541658,1.8,0.07676873430101551,87.7493883912607,68.4
822783,453286,2026-08-02,"Scherzer, Max",home,141,Toronto Blue Jays,138,St. Louis Cardinals,5,8,84,87.65119047619048,2358.9523809523807,0.09523809523809523,0.20336538461538461,2.2,0.07054651207879328,87.79496616903847,76.2
823426,453286,2026-08-08,"Scherzer, Max",away,141,Toronto Blue Jays,143,Philadelphia Phillies,4,8,84,87.94285714285714,2308.2976190476193,0.09523809523809523,0.23144306131858,2.6,0.07782942524405939,87.79285132310011,79.4
822776,453286,2026-08-13,"Scherzer, Max",home,141,Toronto Blue Jays,111,Boston Red Sox,4,12,92,86.43152173913043,2252.413043478261,0.13043478260869565,0.21569920844327176,3.4,0.08336353077816493,87.72250383275261,81.4
822937,453286,2026-08-19,"Scherzer, Max",away,141,Toronto Blue Jays,139,Tampa Bay Rays,1,3,73,87.44383561643835,2298.5205479452056,0.0410958904109589,0.18652631578947368,4.2,0.10701146290966015,87.5988081805787,83.4
824362,500779,2026-05-07,"Quintana, Jose",home,115,Colorado Rockies,121,New York Mets,2,7,74,84.88243243243244,2024.8648648648648,0.0945945945945946,0.21017202692595363,2.4,0.0951194827364458,86.0236564313024,82.8
823386,500779,2026-05-13,"Quintana, Jose",away,115,Colorado Rockies,134,Pittsburgh Pirates,2,8,73,86.32328767123288,2080.4246575342468,0.1095890410958904,0.2311377245508982,2.4,0.09096147857844165,85.50501471266068,82.0
824357,500779,2026-05-18,"Quintana, Jose",home,115,Colorado Rockies,140,Texas Rangers,4,7,94,84.86276595744681,1952.1489361702127,0.07446808510638298,0.2336448598130841,2.6,0.09421262013095306,85.46620558024058,81.6
825081,500779,2026-05-24,"Quintana, Jose",away,115,Colorado Rockies,109,Arizona Diamondbacks,0,5,33,86.03939393939395,1998.6666666666667,0.15151515151515152,0.20380147835269272,3.2,0.10021734826334076,85.20875877172995,82.4
824360,518876,2026-05-15,"Kelly, Merrill",away,109,Arizona Diamondbacks,115,Colorado Rockies,3,6,100,88.329,2273.19,0.06,0.25405405405405407,4.0,0.12786406533046552,89.1126297977614,95.8
825084,518876,2026-05-20,"Kelly, Merrill",home,109,Arizona Diamondbacks,137,San Francisco Giants,4,8,85,89.2835294117647,2287.035294117647,0.09411764705882353,0.2136137244050913,4.0,0.11660825137697717,89.00122049543583,98.6
823219,518876,2026-05-25,"Kelly, Merrill",away,109,Arizona Diamondbacks,137,San Francisco Giants,4,8,96,88.77187500000001,2322.375,0.08333333333333333,0.21173469387755103,3.8,0.11166940455111811,88.98743132828382,95.4
823133,518876,2026-05-31,"Kelly, Merrill",away,109,Arizona Diamondbacks,136,Seattle Mariners,2,7,97,89.57938144329897,2285.6494845360826,0.07216494845360824,0.23087248322147652,4.4,0.10718222506393862,88.95949863597613,93.8
825073,518876,2026-06-05,"Kelly, Merrill",home,109,Arizona Diamondbacks,120,Washington Nationals,4,10,85,89.54705882352941,2319.3411764705884,0.11764705882352941,0.21396488362596977,3.8,0.08900651910248635,89.0975488376794,94.8
823855,518876,2026-06-11,"Kelly, Merrill",away,109,Arizona Diamondbacks,146,Miami Marlins,1,1,74,88.56756756756756,2346.7432432432433,0.013513513513513514,0.21843137254901962,3.4,0.08545259753385889,89.10216893571861,92.6
825070,518876,2026-06-16,"Kelly, Merrill",home,109,Arizona Diamondbacks,108,Los Angeles Angels,4,7,88,89.84772727272728,2303.5,0.07954545454545454,0.2475710687297589,3.0,0.07615530023656161,89.14988244923214,87.4
823040,518876,2026-06-22,"Kelly, Merrill",away,109,Arizona Diamondbacks,138,St. Louis Cardinals,2,6,96,89.79062499999999,2379.71875,0.0625,0.20273588214661523,3.0,0.07324086173388782,89.26272202142465,88.0
822959,518876,2026-06-28,"Kelly, Merrill",away,109,Arizona Diamondbacks,139,Tampa Bay Rays,3,3,93,89.66666666666667,2350.94623655914,0.03225806451612903,0.1883393383557157,2.6,0.06907419506722115,89.46647202142465,88.0
